date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-02-12,10.27,10.37,10.3,9.41,51744.43,0.0,0.0,10.362,10.56,10.676,38991.7,38626.75,32476.66,0.69
2018-02-09,10.29,10.49,10.3,9.89,37781.0,-0.05,-0.48,10.432,10.595,10.705,34943.39,36082.74,34252.54,0.51
2018-02-08,10.3,10.51,10.35,10.21,33335.73,-0.01,-0.1,10.52,10.634,10.77,34745.07,33837.92,33540.6,0.45
2018-02-07,10.54,10.66,10.36,10.18,27520.75,-0.14,-1.33,10.63,10.669,10.835,38785.86,32247.43,33709.03,0.37
2018-02-06,10.52,10.62,10.5,10.18,44576.6,-0.15,-1.41,10.728,10.705,10.901,43497.54,31746.44,36921.06,0.6
2018-02-05,10.71,10.71,10.65,10.43,31502.87,-0.09,-0.84,10.758,10.73,10.985,38261.8,29814.43,37566.28,0.42
2018-02-02,10.9,10.99,10.74,10.08,36789.4,-0.16,-1.47,10.758,10.741,11.081,37222.08,30176.51,39547.67,0.49
2018-02-01,10.87,11.19,10.9,10.74,53539.66,0.05,0.46,10.748,10.755,11.156,32930.76,29596.21,40260.05,0.72
2018-01-31,10.63,10.89,10.85,10.57,51079.16,0.2,1.88,10.708,10.753,11.221,25709.01,26567.23,42605.74,0.68
2018-01-30,10.63,10.65,10.65,10.51,18397.9,0.0,0.0,10.682,10.768,11.248,19995.35,24850.44,41063.33,0.25
2018-01-29,10.69,10.72,10.65,10.5,26304.3,-0.04,-0.37,10.702,10.791,11.286,21367.06,26326.58,41362.4,0.35
2018-01-26,10.71,10.71,10.69,10.61,15332.78,-0.01,-0.09,10.724,10.815,11.324,23130.94,32422.34,42011.89,0.21
2018-01-25,10.61,10.72,10.7,10.61,17430.9,-0.02,-0.19,10.762,10.905,11.348,26261.66,33243.29,41972.97,0.23
2018-01-24,10.72,10.74,10.72,10.6,22510.85,-0.03,-0.28,10.798,11.0,11.37,27425.45,35170.63,41927.06,0.3
2018-01-23,10.71,10.8,10.75,10.63,25256.46,-0.01,-0.09,10.854,11.096,11.382,29705.54,42095.68,41612.95,0.34
