date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-04-17,36.62,37.18,35.64,35.4,5083.58,-0.91,-2.49,36.66,36.521,35.107,6518.63,8096.78,7875.06,2.11
2018-04-16,36.86,37.5,36.55,35.92,6068.3,-0.28,-0.76,36.78,36.553,34.891,6895.82,8673.14,7769.93,2.52
2018-04-13,37.5,38.19,36.83,36.65,7305.6,-0.45,-1.21,36.828,36.333,34.648,7550.91,8641.01,7816.95,3.04
2018-04-12,37.0,38.38,37.28,36.74,7451.73,0.28,0.76,36.918,36.063,34.455,8878.56,8700.59,7624.41,3.1
2018-04-11,36.5,37.47,37.0,36.38,6683.94,0.76,2.1,36.646,35.744,34.227,9160.89,8684.38,7534.22,2.78
2018-04-10,36.79,37.49,36.24,35.63,6969.55,-0.55,-1.5,36.382,35.29,34.02,9674.92,8569.75,7525.66,2.9
2018-04-09,36.52,38.02,36.79,36.12,9343.73,-0.49,-1.31,36.326,34.781,33.827,10450.45,8588.96,7535.38,3.89
2018-04-04,36.4,38.45,37.28,36.4,13943.83,1.36,3.79,35.838,34.494,33.565,9731.11,8277.43,7292.32,5.8
2018-04-03,35.0,36.78,35.92,35.0,8863.41,0.24,0.67,35.208,34.199,33.242,8522.62,8041.59,6736.11,3.69
2018-04-02,36.0,36.41,35.68,35.41,9254.1,-0.28,-0.78,34.842,33.944,32.996,8207.86,7714.71,6529.78,3.85
2018-03-30,34.45,35.97,35.96,34.45,10847.19,1.61,4.69,34.198,33.693,32.73,7464.57,7653.34,6202.36,4.51
2018-03-29,34.15,34.98,34.35,33.58,5747.0,0.22,0.65,33.236,33.228,32.434,6727.46,6866.73,5868.19,2.39
2018-03-28,33.78,35.11,34.13,33.35,7901.39,0.04,0.12,33.15,32.962,32.253,6823.76,6992.9,5785.57,3.29
2018-03-27,32.5,34.2,34.09,32.5,7289.61,1.63,5.02,33.19,32.846,32.047,7560.57,6548.24,5571.22,3.03
2018-03-26,30.8,32.78,32.46,30.5,5537.66,1.31,4.21,33.046,32.71,31.853,7221.56,6384.06,5464.78,2.3
2018-03-23,33.11,33.3,31.15,31.0,7161.64,-2.77,-8.17,33.188,32.75,31.737,7842.12,6481.57,5418.78,2.98
2018-03-22,34.1,34.77,33.92,33.7,6228.48,-0.41,-1.19,33.22,32.873,31.639,7006.0,6481.81,5190.53,2.59
2018-03-21,33.57,35.2,34.33,33.1,11585.44,0.96,2.88,32.774,32.636,31.413,7162.04,6307.21,4961.51,4.82
2018-03-20,32.73,33.4,33.37,32.53,5594.59,0.2,0.6,32.502,32.285,31.151,5535.91,5430.63,4456.1,2.33
2018-03-19,31.1,33.88,33.17,31.07,8640.43,1.86,5.94,32.374,32.048,30.93,5546.56,5344.85,4295.33,3.59
2018-03-16,31.54,31.94,31.31,31.3,2981.06,-0.38,-1.2,32.312,31.766,30.729,5121.01,4751.38,4040.24,1.24
2018-03-15,32.71,32.71,31.69,30.82,7008.67,-1.28,-3.88,32.526,31.64,30.564,5957.61,4869.65,4088.94,2.92
2018-03-14,32.51,33.1,32.97,32.51,3454.82,0.24,0.73,32.498,31.544,30.434,5452.38,4578.24,3861.39,1.44
2018-03-13,32.7,33.29,32.73,32.61,5647.84,-0.13,-0.4,32.068,31.248,30.218,5325.34,4594.2,3912.57,2.35
2018-03-12,32.84,33.3,32.86,32.33,6512.68,0.48,1.48,31.722,30.996,30.035,5143.14,4545.49,3958.89,2.71
2018-03-09,31.05,32.76,32.38,31.05,7164.04,0.83,2.63,31.22,30.724,30.008,4381.75,4355.99,3713.71,2.98
2018-03-08,30.8,31.6,31.55,30.61,4482.52,0.73,2.37,30.754,30.404,30.039,3781.69,3899.25,3492.59,1.86
2018-03-07,31.09,31.19,30.82,30.65,2819.64,-0.18,-0.58,30.59,30.189,30.149,3704.09,3615.8,3408.56,1.17
2018-03-06,30.8,31.32,31.0,30.7,4736.82,0.65,2.14,30.428,30.017,30.316,3863.06,3481.57,3438.37,1.97
2018-03-05,30.05,30.45,30.35,30.01,2705.75,0.3,1.0,30.27,29.811,30.502,3947.83,3245.8,3292.23,1.13
2018-03-02,30.58,30.8,30.05,30.0,4163.71,-0.68,-2.21,30.228,29.692,30.703,4330.22,3329.1,3316.21,1.73
2018-03-01,30.0,30.81,30.73,29.8,4094.54,0.72,2.4,30.054,29.487,30.964,4016.8,3308.23,3285.34,1.7
2018-02-28,29.89,30.23,30.01,29.57,3614.48,-0.2,-0.66,29.788,29.323,31.223,3527.52,3144.54,3287.5,1.5
2018-02-27,29.68,30.28,30.21,29.47,5160.69,0.07,0.23,29.606,29.187,31.519,3100.08,3230.95,3293.26,2.15
2018-02-26,29.53,30.2,30.14,29.5,4617.67,0.96,3.29,29.352,29.074,31.786,2543.77,3372.3,3198.24,1.92
2018-02-23,29.45,29.55,29.18,29.06,2596.64,-0.22,-0.75,29.156,29.291,32.076,2327.98,3071.43,3235.53,1.08
2018-02-22,29.22,29.5,29.4,29.01,1648.1,0.3,1.03,28.92,29.673,32.392,2599.66,3085.94,3292.82,0.69
2018-02-14,29.06,29.17,29.1,28.59,1477.3,0.16,0.55,28.858,30.109,32.68,2761.55,3201.32,3334.31,0.61
2018-02-13,29.16,29.47,28.94,28.91,2379.13,-0.22,-0.75,28.768,30.614,32.973,3361.81,3395.18,3425.27,0.99
2018-02-12,28.31,29.53,29.16,28.31,3538.72,1.16,4.14,28.796,31.192,33.247,4200.83,3338.66,3399.28,1.47
2018-02-09,28.86,28.86,28.0,27.61,3955.06,-1.09,-3.75,29.426,31.714,33.495,3814.87,3303.32,3373.33,1.65
2018-02-08,28.7,29.28,29.09,28.53,2457.56,0.44,1.54,30.426,32.441,33.841,3572.22,3262.45,3332.94,1.02
2018-02-07,29.5,29.94,28.65,28.48,4478.59,-0.43,-1.48,31.36,33.123,34.119,3641.08,3430.47,3370.93,1.86
