date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-04-17,48.27,48.83,47.0,46.82,10181.0,-1.21,-2.51,49.584,51.122,50.354,14836.0,20075.67,17949.65,3.94
2018-04-16,49.32,49.99,48.21,48.01,13344.48,-2.09,-4.16,50.246,51.772,50.371,17851.3,21374.04,17846.07,5.16
2018-04-13,51.61,52.08,50.3,50.28,14257.06,-1.25,-2.42,50.742,52.069,50.315,21943.25,22028.07,17914.78,5.52
2018-04-12,50.99,52.7,51.55,50.43,17956.0,0.69,1.36,51.662,52.075,50.225,24200.61,22744.49,17634.92,6.95
2018-04-11,50.8,51.73,50.86,50.24,18441.46,0.55,1.09,52.252,51.907,50.081,25144.16,22545.89,17299.02,7.14
2018-04-10,50.07,50.88,50.31,48.0,25257.52,-0.38,-0.75,52.66,51.561,50.053,25315.34,21851.14,17166.07,9.78
2018-04-09,51.21,52.06,50.69,49.41,33804.19,-4.21,-7.67,53.298,51.122,50.004,24896.78,20930.93,16653.78,13.08
2018-04-04,55.32,57.3,54.9,54.5,25543.87,0.4,0.73,53.396,51.053,49.918,22112.88,18772.13,15964.87,9.89
2018-04-03,51.4,54.68,54.5,51.4,22673.78,1.6,3.02,52.488,50.461,49.539,21288.36,17569.48,15153.28,8.78
2018-04-02,53.5,54.58,52.9,52.81,19297.33,-0.6,-1.12,51.562,49.995,49.179,19947.61,16950.41,14688.17,7.47
2018-03-30,52.25,53.69,53.5,51.31,23164.74,2.32,4.53,50.462,49.585,48.876,18386.95,15823.62,14147.32,8.97
2018-03-29,52.92,52.92,51.18,50.6,19884.7,0.82,1.63,48.946,48.97,48.516,16965.08,14318.1,13578.64,7.7
2018-03-28,49.11,52.8,50.36,49.11,21421.26,0.49,0.98,48.71,48.56,48.274,15431.38,13801.5,13092.12,8.29
2018-03-27,48.22,50.14,49.87,47.9,15970.04,2.47,5.21,48.434,48.374,48.044,13850.6,12525.36,12475.43,6.18
2018-03-26,45.39,47.53,47.4,44.45,11494.0,1.48,3.22,48.428,48.255,47.861,13953.21,12052.15,12336.49,4.45
2018-03-23,48.98,49.37,45.92,45.08,16055.4,-4.08,-8.16,48.708,48.545,47.796,13260.3,12480.99,12639.16,6.21
2018-03-22,49.1,50.28,50.0,49.0,12216.18,1.02,2.08,48.994,48.885,47.596,11671.13,12376.64,12176.48,4.73
2018-03-21,49.7,50.58,48.98,48.77,13517.39,-0.86,-1.73,48.41,48.782,47.181,12171.62,13157.61,12090.75,5.23
2018-03-20,48.56,50.8,49.84,48.3,16483.1,1.04,2.13,48.314,48.616,46.807,11200.11,12737.08,11948.3,6.38
2018-03-19,47.95,49.0,48.8,47.38,8029.43,1.45,3.06,48.082,48.362,46.509,10151.08,12425.92,11399.24,3.11
2018-03-16,46.97,48.1,47.35,46.8,8109.55,0.27,0.57,48.382,48.167,46.292,11701.69,12471.01,11287.65,3.14
2018-03-15,48.24,48.68,47.08,45.51,14718.62,-1.42,-2.93,48.776,48.061,46.082,13082.15,12839.17,11202.75,5.7
