date,open,close,high,low,volume
2014-12-30,3.947,4.737,4.737,3.947,381.0
2014-12-31,5.21,5.21,5.21,5.21,169.0
2015-01-05,5.731,5.731,5.731,5.731,212.0
2015-01-06,6.305,6.305,6.305,6.305,244.0
2015-01-07,6.937,6.937,6.937,6.937,712.0
2015-01-08,7.63,7.63,7.63,7.63,2897.0
2015-01-09,8.392999999999999,8.392999999999999,8.392999999999999,8.392999999999999,13746.0
2015-01-12,8.392999999999999,9.232999999999999,9.232999999999999,8.206,178314.0
2015-01-13,8.8,9.347999999999999,10.12,8.69,123045.0
2015-01-14,9.13,9.158999999999999,9.834,9.086,77757.0
2015-01-15,9.24,9.786,10.074,9.24,93979.0
2015-01-16,9.684,10.222999999999999,10.425999999999998,9.636000000000001,84043.0
2015-01-19,9.856,9.673,10.952,9.376,89705.0
2015-01-20,9.702,10.408,10.427999999999999,9.702,62687.0
2015-01-21,10.457,10.435,10.89,10.12,61948.0
2015-01-22,10.232000000000001,10.362,10.626,10.232000000000001,40570.0
2015-01-23,10.276,10.311,10.622,9.902000000000001,52583.0
2015-01-26,10.144,10.373,10.595,10.144,34649.0
2015-01-27,10.32,10.305,10.593,10.068999999999999,32085.0
2015-01-28,10.208,11.334000000000001,11.334000000000001,10.144,48477.0
2015-01-29,11.427,11.277000000000001,11.645,11.044,60917.0
2015-01-30,11.112,10.369000000000002,11.264000000000001,10.347000000000001,32479.0
2015-02-02,9.332,9.332,9.332,9.332,6066.0
2015-02-03,8.945,10.045,10.219,8.945,85634.0
2015-02-04,9.812000000000001,9.673,9.984,9.625,58712.0
2015-02-05,9.704,9.728,10.335999999999999,9.526,54938.0
2015-02-06,9.651,9.017999999999999,9.651,8.91,45933.0
2015-02-09,8.822000000000003,8.543,9.13,8.492,29477.0
2015-02-10,8.573,8.902999999999997,8.908,8.426,23140.0
2015-02-11,8.826,9.068,9.24,8.818,26563.0
2015-02-12,9.064,9.783,9.975,9.057,49353.0
2015-02-13,9.878,9.995,10.152999999999999,9.823,39222.0
2015-02-16,9.922,10.118,10.309000000000001,9.662,36220.0
2015-02-17,10.131,9.943999999999999,10.212,9.847000000000001,22652.0
2015-02-25,9.889,9.671,10.065,9.555,18315.0
2015-02-26,9.671,9.781,9.867,9.592,14622.0
2015-02-27,9.783,9.907,9.999,9.647,18441.0
2015-03-02,9.887,10.215,10.296,9.812000000000001,27337.0
2015-03-03,10.14,9.767999999999999,10.14,9.711,29123.0
2015-03-04,9.68,9.908999999999999,9.951,9.647,18556.0
2015-03-05,9.856,10.067,10.102,9.753,23784.0
2015-03-06,10.012,9.693,10.087,9.677999999999999,17424.0
2015-03-09,9.504,9.557,9.651,9.293,14052.0
2015-03-10,9.557,9.871,9.943999999999999,9.557,15968.0
2015-03-11,9.876,9.676,9.876,9.616,15500.0
2015-03-12,9.592,9.522,9.797,9.383,13717.0
2015-03-13,9.566,10.146,10.296,9.566,31997.0
2015-03-16,10.298,10.93,11.120999999999999,10.298,40580.0
2015-03-17,10.949000000000002,10.822000000000001,10.985,10.707,28420.0
2015-03-18,10.735999999999999,11.904000000000002,11.904000000000002,10.672,29048.0
2015-03-19,12.265,12.421,12.868,12.102,42162.0
2015-03-20,12.67,12.833,13.42,12.235999999999999,38014.0
2015-03-23,12.755999999999998,13.614,13.725999999999999,12.65,34817.0
2015-03-24,13.636,13.244000000000002,13.636,12.696,42248.0
2015-03-25,13.134,13.610999999999999,14.155,13.024000000000001,35657.0
2015-03-26,12.993,12.544,13.299000000000001,12.294,28288.0
2015-03-27,12.382,12.709000000000001,12.868,12.382,14854.43
2015-03-30,12.478,12.344000000000001,12.755999999999998,12.1,16568.0
2015-03-31,12.342,12.54,12.694,12.298,13845.0
2015-04-01,12.517999999999999,12.716,12.758,12.408,15051.0
2015-04-02,12.822000000000001,12.987,13.24,12.762,19662.0
2015-04-03,12.872,13.105,13.107999999999999,12.770999999999999,19410.0
2015-04-07,13.167,14.298,14.311,13.158,31558.0
