date,open,close,high,low,volume
2017-01-12,6.669,8.007,8.007,6.669,206.0
2017-01-13,8.806000000000003,8.806000000000003,8.806000000000003,8.806000000000003,143.0
2017-01-16,9.685,9.685,9.685,9.685,330.0
2017-01-17,10.652999999999999,10.652999999999999,10.652999999999999,10.652999999999999,498.0
2017-01-18,11.720999999999998,11.720999999999998,11.720999999999998,11.720999999999998,553.0
2017-01-19,12.889000000000001,12.889000000000001,12.889000000000001,12.889000000000001,1598.0
2017-01-20,14.177,14.177,14.177,14.177,2134.0
2017-01-23,15.595,15.595,15.595,15.595,1765.0
2017-01-24,17.153,17.153,17.153,17.153,21565.0
2017-01-25,17.522000000000002,18.410999999999998,18.87,16.494,464898.0
2017-01-26,17.532,17.123,17.622,16.743,321423.0
2017-02-03,17.133,16.953,17.252,16.264,215196.0
2017-02-06,17.582,18.65,18.65,17.582,117143.0
2017-02-07,20.517,19.848,20.517,19.259,405023.0
2017-02-08,19.469,20.846999999999998,21.835,19.249000000000002,459383.0
2017-02-09,20.078,20.067999999999998,20.837,19.848,302666.0
2017-02-10,19.768,19.04,20.108,18.9,226965.0
2017-02-13,19.319000000000006,20.067999999999998,20.656999999999996,19.259,241146.0
2017-02-14,19.898,20.807,21.266,19.688,260470.0
2017-02-15,20.796999999999997,22.88300000000001,22.88300000000001,20.566999999999997,128381.0
2017-02-16,22.963,22.125,22.963,20.976,302444.0
2017-02-17,21.615,20.407,22.095,20.298,216257.0
2017-02-20,19.977999999999998,19.569000000000006,20.158,18.77,149194.0
2017-02-21,19.369,20.208,20.417,19.369,137492.0
2017-02-22,20.048,19.629,20.128,19.409000000000002,113318.0
2017-02-23,19.489,20.108,20.258,19.389,120758.0
2017-02-24,20.417,20.656999999999996,21.835,20.118,197779.0
2017-02-27,20.877,21.186,21.276,20.258,146427.0
2017-02-28,21.066,22.364,22.853,20.776999999999997,231341.0
2017-03-01,22.414,24.561,24.601,21.975,333508.0
2017-03-02,24.521,27.017,27.017,24.410999999999998,360565.0
2017-03-03,26.438000000000002,28.744,29.45300000000001,25.339000000000002,339451.0
2017-03-06,28.375,31.51,31.619,27.955,328988.0
