,date,open,close,high,low,volume,code
0,2017-03-23,8.935,10.727,10.727,8.935,80.0,300631
1,2017-03-24,11.797,11.797,11.797,11.797,26.0,300631
2,2017-03-27,12.979,12.979,12.979,12.979,20.0,300631
3,2017-03-28,14.28,14.28,14.28,14.28,23.0,300631
4,2017-03-29,15.711,15.711,15.711,15.711,19.0,300631
5,2017-03-30,17.285,17.285,17.285,17.285,27.0,300631
6,2017-03-31,19.014,19.014,19.014,19.014,23.0,300631
7,2017-04-05,20.918,20.918,20.918,20.918,75.0,300631
8,2017-04-06,23.009,23.009,23.009,23.009,184.0,300631
9,2017-04-07,25.311,25.311,25.311,25.311,113.0,300631
10,2017-04-10,27.843,27.843,27.843,27.843,260.0,300631
11,2017-04-11,30.631,30.631,30.631,30.631,404.0,300631
12,2017-04-12,33.692,33.692,33.692,33.692,3283.0,300631
13,2017-04-13,37.065,37.065,37.065,34.905,87717.0,300631
14,2017-04-14,35.777,33.742,36.399,33.599,72136.0,300631
15,2017-04-17,31.116,30.37,31.452,30.37,47057.0,300631
16,2017-04-18,29.99,30.37,31.608,29.984,32834.0,300631
17,2017-04-19,29.866,32.199,32.603,29.866,43604.0,300631
18,2017-04-20,32.062,30.724,32.13,30.332,34955.0,300631
19,2017-04-21,30.799,30.488,31.602,30.413,22581.0,300631
20,2017-04-24,30.5,29.318,30.5,28.621,21111.0,300631
21,2017-04-25,29.866,29.909,30.793,29.654,20848.0,300631
22,2017-04-26,29.741,30.656,30.88,29.741,22005.0,300631
23,2017-04-27,30.363,32.603,33.226,30.239,42576.0,300631
24,2017-04-28,32.286,32.23,32.964,32.05,26968.0,300631
25,2017-05-02,32.106,31.527,32.522,31.241,20534.0,300631
26,2017-05-03,31.527,32.193,32.236,30.961,26607.0,300631
27,2017-05-04,31.776,30.681,31.788,30.681,26095.0,300631
28,2017-05-05,30.475,29.548,31.091,29.48,20853.0,300631
29,2017-05-08,29.368,29.063,29.978,28.995,12119.0,300631
30,2017-05-09,29.1,29.679,29.791,28.814,12176.0,300631
31,2017-05-10,29.866,28.372,30.239,27.756,20027.0,300631
32,2017-05-11,28.049,28.995,29.119,27.756,17987.0,300631
33,2017-05-12,28.982,30.973,31.894,28.839,51789.0,300631
34,2017-05-15,30.973,30.917,31.539,30.382,31947.0,300631
35,2017-05-16,30.332,31.894,31.913,29.884,31795.0,300631
36,2017-05-17,31.981,31.608,32.529,31.371,30305.0,300631
37,2017-05-18,30.923,32.261,33.288,30.805,34896.0,300631
38,2017-05-19,31.931,30.575,32.361,30.432,27496.0,300631
39,2017-05-22,30.395,28.634,30.55,28.472,23290.0,300631
40,2017-05-23,28.677,27.489,28.795,27.396,16205.0,300631
41,2017-05-24,27.564,28.03,28.204,27.091,9613.0,300631
42,2017-05-25,27.999,27.57,27.999,25.921,17913.0,300631
43,2017-05-26,27.408,27.725,28.248,27.364,12027.0,300631
44,2017-05-31,28.733,27.501,29.237,27.383,14791.0,300631
45,2017-06-01,27.252,25.162,27.252,25.006,14447.0,300631
46,2017-06-02,25.012,25.809,26.101,24.552,10010.0,300631
47,2017-06-05,26.307,26.132,26.63,25.983,8233.0,300631
48,2017-06-06,25.753,26.226,26.307,25.753,6340.0,300631
49,2017-06-07,26.251,27.62,27.999,26.139,15876.0,300631
50,2017-06-08,27.564,27.501,28.242,27.302,13431.0,300631
51,2017-06-09,27.439,27.987,28.291,27.252,10528.0,300631
52,2017-06-12,27.613,26.319,27.688,26.114,11580.0,300631
53,2017-06-13,26.307,27.62,27.676,26.132,10203.0,300631
54,2017-06-14,27.564,27.42,27.924,27.072,7119.0,300631
55,2017-06-15,27.427,28.242,28.372,27.277,15901.0,300631
56,2017-06-16,28.123,28.086,28.341,27.868,8503.0,300631
57,2017-06-19,28.049,28.186,28.273,27.564,9316.0,300631
58,2017-06-20,28.186,27.955,28.54,27.725,8268.0,300631
59,2017-06-21,27.955,27.8,28.061,27.265,7903.0,300631
60,2017-06-22,27.744,26.811,27.837,26.811,8343.0,300631
61,2017-06-23,27.19,26.618,27.19,25.884,10285.0,300631
62,2017-06-26,26.537,26.786,26.786,26.083,6675.0,300631
63,2017-06-27,26.817,26.755,27.084,26.655,5530.0,300631
64,2017-06-28,27.004,26.574,27.308,26.512,7369.0,300631
65,2017-06-29,26.63,26.624,27.004,26.574,4522.0,300631
66,2017-06-30,26.755,26.985,27.066,26.369,8484.0,300631
67,2017-07-03,26.941,27.14,27.246,26.773,12601.0,300631
68,2017-07-04,27.13,26.4,27.17,26.35,13781.0,300631
69,2017-07-05,26.5,26.88,27.18,26.36,18550.0,300631
70,2017-07-06,26.88,27.16,27.17,26.5,22022.0,300631
71,2017-07-07,27.3,27.61,28.08,27.17,27917.0,300631
72,2017-07-10,27.32,26.16,27.4,26.03,20254.0,300631
73,2017-07-11,26.2,25.63,26.24,25.52,13761.0,300631
74,2017-07-12,25.45,25.6,25.77,24.76,15492.0,300631
75,2017-07-13,25.51,25.16,25.88,24.83,8551.0,300631
76,2017-07-14,25.28,24.89,25.35,24.81,8652.0,300631
77,2017-07-17,24.68,22.4,24.68,22.4,19519.0,300631
78,2017-07-18,21.98,22.3,22.48,21.64,12083.0,300631
79,2017-07-19,22.35,22.16,22.35,21.8,7829.0,300631
80,2017-07-20,22.26,22.2,22.89,21.99,11328.0,300631
81,2017-07-21,22.01,22.01,22.35,21.9,6466.0,300631
82,2017-07-24,21.72,22.07,22.25,21.27,8066.0,300631
83,2017-07-25,22.08,22.14,22.28,21.93,5526.0,300631
84,2017-07-26,22.14,21.81,22.22,21.65,6281.0,300631
85,2017-07-27,21.79,22.74,22.75,21.6,13183.0,300631
86,2017-07-28,22.68,22.13,22.85,22.09,8170.0,300631
87,2017-07-31,22.08,22.18,22.48,21.9,7045.0,300631
88,2017-08-01,22.29,22.19,22.37,21.85,6212.0,300631
89,2017-08-02,22.3,21.62,22.3,21.6,6463.0,300631
90,2017-08-03,21.69,21.96,22.3,21.51,6822.0,300631
91,2017-08-04,22.02,21.36,22.02,21.26,8949.0,300631
92,2017-08-07,21.37,21.59,21.7,21.37,5061.0,300631
93,2017-08-08,21.59,21.42,21.59,21.16,5573.0,300631
94,2017-08-09,21.43,21.43,21.65,21.33,4667.0,300631
95,2017-08-10,21.46,20.96,21.68,20.63,5328.0,300631
96,2017-08-11,20.98,20.58,20.98,20.5,5273.0,300631
97,2017-08-14,20.61,21.06,21.15,20.51,6265.0,300631
98,2017-08-15,21.39,21.94,22.36,21.39,16131.0,300631
99,2017-08-16,21.85,22.5,22.78,21.65,17647.0,300631
100,2017-08-17,22.38,22.39,22.57,22.11,10740.0,300631
101,2017-08-18,22.35,21.92,22.37,21.82,8864.0,300631
102,2017-08-21,21.86,22.9,23.15,21.86,15804.0,300631
103,2017-08-22,22.85,22.55,23.28,22.53,10620.0,300631
104,2017-08-23,22.78,23.35,23.58,22.5,18467.0,300631
105,2017-08-24,23.28,23.41,24.24,23.05,36089.0,300631
106,2017-08-25,23.11,23.84,24.1,23.11,21953.0,300631
107,2017-08-28,24.2,24.82,25.28,24.05,30040.0,300631
108,2017-08-29,24.47,24.95,25.6,24.35,36381.0,300631
109,2017-08-30,24.58,24.61,25.3,24.48,18010.0,300631
110,2017-08-31,24.81,25.47,27.0,24.76,26182.0,300631
111,2017-09-01,25.74,26.34,26.44,25.12,35828.0,300631
112,2017-09-04,26.79,26.03,26.88,25.88,29944.0,300631
113,2017-09-05,25.9,26.16,26.45,25.81,17397.0,300631
114,2017-09-06,26.0,25.69,26.06,25.21,21132.0,300631
115,2017-09-07,25.78,25.64,26.27,25.56,17308.0,300631
116,2017-09-08,25.79,25.39,25.84,25.12,14490.0,300631
117,2017-09-11,25.52,25.8,25.89,25.31,10441.0,300631
118,2017-09-12,25.9,25.08,25.99,24.81,14443.0,300631
119,2017-09-13,25.12,25.33,25.47,24.85,8633.0,300631
120,2017-09-14,25.39,26.08,26.19,25.38,22611.0,300631
121,2017-09-15,25.87,28.6,28.69,25.2,71261.0,300631
122,2017-09-18,28.03,27.95,28.5,26.88,46599.0,300631
123,2017-09-19,27.55,30.1,30.4,27.35,73214.0,300631
124,2017-09-20,33.11,33.11,33.11,33.11,21709.0,300631
125,2017-09-21,36.42,36.42,36.42,34.3,124772.0,300631
126,2017-09-22,36.42,37.55,40.0,35.2,149299.0,300631
127,2017-09-25,36.91,33.8,36.91,33.8,122187.0,300631
128,2017-09-26,33.96,34.23,35.48,32.7,99524.0,300631
129,2017-09-27,33.02,33.96,34.33,32.58,84642.0,300631
130,2017-09-28,33.21,35.0,36.18,33.21,100518.0,300631
131,2017-09-29,34.5,31.94,34.6,31.5,94145.0,300631
132,2017-10-09,32.5,32.39,32.66,31.41,57490.0,300631
133,2017-10-10,32.15,32.55,32.98,31.7,52810.0,300631
134,2017-10-11,32.4,31.15,32.93,30.78,53693.0,300631
135,2017-10-12,31.49,31.79,31.85,30.58,40750.0,300631
136,2017-10-13,31.25,33.23,34.3,31.25,90395.0,300631
137,2017-10-16,32.6,33.88,34.1,31.3,94200.0,300631
138,2017-10-17,33.57,31.65,33.6,31.0,65552.0,300631
139,2017-10-18,31.0,30.24,32.18,30.01,53146.0,300631
140,2017-10-19,29.78,28.37,29.78,28.1,40735.0,300631
141,2017-10-20,28.1,28.55,28.88,28.1,20903.0,300631
142,2017-10-23,28.7,29.06,29.39,28.4,24137.0,300631
143,2017-10-24,28.71,28.56,28.9,27.55,27253.0,300631
144,2017-10-25,28.55,28.75,29.27,28.27,19390.0,300631
145,2017-10-26,28.42,29.0,29.25,28.33,22765.0,300631
146,2017-10-27,29.0,28.31,29.17,28.3,14532.0,300631
147,2017-10-30,28.29,25.92,28.29,25.61,24333.0,300631
148,2017-10-31,26.19,26.68,26.72,25.9,15559.0,300631
149,2017-11-01,26.5,26.86,27.14,26.41,16925.0,300631
150,2017-11-02,26.86,26.7,27.59,26.63,16678.0,300631
151,2017-11-03,26.62,26.69,27.25,26.4,11671.0,300631
152,2017-11-06,26.94,27.39,27.46,26.88,12349.0,300631
153,2017-11-07,27.49,27.9,27.94,27.02,18909.0,300631
154,2017-11-08,27.9,28.57,29.25,27.81,30421.0,300631
155,2017-11-09,28.6,28.23,28.93,27.93,17965.0,300631
156,2017-11-10,28.23,29.34,29.87,28.12,34380.0,300631
157,2017-11-13,29.33,31.55,32.27,28.88,47515.0,300631
158,2017-11-14,31.34,31.69,32.5,30.55,58048.0,300631
159,2017-11-15,31.96,29.6,32.38,29.51,39036.0,300631
160,2017-11-16,30.0,29.48,30.18,29.0,22178.0,300631
161,2017-11-17,29.2,26.94,29.2,26.93,28271.0,300631
162,2017-11-20,26.7,26.52,26.8,24.37,16751.0,300631
163,2017-11-21,26.48,25.94,26.81,25.6,15289.0,300631
164,2017-11-22,25.88,25.8,26.44,25.56,10897.0,300631
165,2017-11-23,25.8,24.52,25.98,24.35,10432.0,300631
166,2017-11-24,24.51,25.46,26.44,24.36,17937.0,300631
167,2017-11-27,25.16,24.57,25.44,24.55,8980.0,300631
168,2017-11-28,24.57,25.04,25.16,24.42,7639.0,300631
169,2017-11-29,25.06,25.58,25.78,24.95,11103.0,300631
170,2017-11-30,25.02,25.21,25.94,25.02,10492.0,300631
171,2017-12-01,25.03,25.45,25.68,24.8,7436.0,300631
172,2017-12-04,25.25,23.5,25.5,23.25,13509.0,300631
173,2017-12-05,23.53,21.88,23.83,21.65,15276.0,300631
174,2017-12-06,21.82,22.34,22.5,21.23,10215.0,300631
175,2017-12-07,22.29,22.28,22.55,22.01,6266.0,300631
176,2017-12-08,22.28,22.85,23.48,22.12,10067.0,300631
177,2017-12-11,22.9,23.0,23.35,22.83,6178.0,300631
178,2017-12-12,22.92,23.41,24.5,22.35,15794.0,300631
179,2017-12-13,23.11,23.42,23.74,22.86,9999.0,300631
180,2017-12-14,23.32,23.05,23.56,22.91,6793.0,300631
181,2017-12-15,22.83,22.4,23.11,22.03,9046.0,300631
182,2017-12-18,22.18,22.41,22.76,22.18,4478.0,300631
183,2017-12-19,22.49,22.72,22.77,22.3,5954.0,300631
184,2017-12-20,22.66,22.05,22.75,21.96,6251.0,300631
185,2017-12-21,22.09,22.87,23.29,21.87,13085.0,300631
186,2017-12-22,22.86,22.35,22.86,22.2,7965.0,300631
187,2017-12-25,22.22,21.73,22.43,21.27,9428.0,300631
188,2017-12-26,21.73,22.83,22.93,21.7,14694.0,300631
189,2017-12-27,22.85,23.68,25.11,22.85,27399.0,300631
190,2017-12-28,23.0,23.4,23.57,22.86,15484.0,300631
191,2017-12-29,23.15,23.61,23.65,23.02,10374.0,300631
192,2018-01-02,23.95,23.55,23.97,23.3,7988.0,300631
193,2018-01-03,23.6,23.66,23.8,23.2,10055.0,300631
194,2018-01-04,23.47,23.25,23.77,23.18,7835.0,300631
195,2018-01-05,23.25,23.62,24.22,23.25,13712.0,300631
196,2018-01-08,23.63,23.41,24.1,22.92,10901.0,300631
197,2018-01-09,23.23,23.22,23.45,23.07,5403.0,300631
198,2018-01-10,23.31,23.23,24.04,23.04,13553.0,300631
199,2018-01-11,23.06,23.7,24.35,22.5,19651.0,300631
200,2018-01-12,23.2,23.44,23.78,23.14,10198.0,300631
201,2018-01-15,23.47,23.75,24.23,23.47,16114.0,300631
202,2018-01-16,23.6,25.08,25.6,23.23,32024.0,300631
203,2018-01-17,24.69,26.62,26.84,24.3,37838.0,300631
204,2018-01-18,26.0,28.5,29.28,25.67,67012.0,300631
205,2018-01-19,28.0,27.8,29.57,27.11,52313.0,300631
206,2018-01-22,27.49,26.25,27.56,25.66,33574.0,300631
207,2018-01-23,26.44,25.91,26.79,25.75,19100.0,300631
208,2018-01-24,25.99,26.4,26.55,25.75,20554.0,300631
209,2018-01-25,26.5,25.79,26.67,25.68,13949.0,300631
210,2018-01-26,26.34,27.5,27.7,26.25,35024.0,300631
211,2018-01-29,27.09,26.01,27.7,25.8,26191.0,300631
212,2018-01-30,25.56,26.42,26.53,25.3,16355.0,300631
213,2018-01-31,26.19,24.7,26.38,24.56,15740.0,300631
214,2018-02-01,24.55,22.23,25.09,22.23,25114.0,300631
215,2018-02-02,22.02,22.58,22.89,21.51,13141.0,300631
216,2018-02-05,22.55,22.25,22.61,22.02,6119.0,300631
217,2018-02-06,21.0,20.03,22.15,20.03,12390.0,300631
218,2018-02-07,20.2,20.3,21.09,19.5,7306.0,300631
219,2018-02-08,20.3,20.83,20.88,20.26,5404.0,300631
220,2018-02-09,20.64,20.01,20.64,19.7,8192.0,300631
221,2018-02-12,20.01,20.75,20.97,20.01,6406.0,300631
222,2018-02-13,20.96,20.54,21.43,20.4,4852.0,300631
223,2018-02-14,20.51,20.51,20.9,20.37,4271.0,300631
224,2018-02-22,20.7,21.18,21.39,20.58,5247.0,300631
225,2018-02-23,21.4,22.27,23.08,21.03,8638.0,300631
226,2018-02-26,22.68,22.84,23.1,22.09,9315.0,300631
227,2018-02-27,22.56,22.68,23.45,22.51,8224.0,300631
228,2018-02-28,22.7,22.37,22.73,22.36,5814.0,300631
229,2018-03-01,22.0,22.89,23.0,21.98,6603.0,300631
230,2018-03-02,22.86,23.7,24.3,22.75,17175.0,300631
231,2018-03-05,23.43,23.76,24.1,23.43,8088.0,300631
232,2018-03-06,23.75,23.75,24.0,23.51,6592.0,300631
233,2018-03-07,23.68,23.46,23.94,23.35,4925.0,300631
234,2018-03-08,23.11,24.3,24.34,23.11,9731.0,300631
235,2018-03-09,24.34,24.4,24.66,23.91,8866.0,300631
236,2018-03-12,24.62,24.87,25.14,24.52,11026.0,300631
237,2018-03-13,24.92,26.31,27.36,24.91,32388.0,300631
238,2018-03-14,25.7,25.42,26.08,25.37,16385.0,300631
239,2018-03-15,24.98,24.22,25.42,23.6,12357.0,300631
240,2018-03-16,24.43,24.44,25.0,24.05,6208.0,300631
241,2018-03-19,24.4,24.63,24.89,23.66,5609.0,300631
242,2018-03-20,24.24,25.42,25.88,23.98,13796.0,300631
243,2018-03-21,27.96,27.96,27.96,27.96,8260.0,300631
244,2018-03-22,30.76,30.76,30.76,30.76,21175.0,300631
245,2018-03-23,29.54,29.4,32.8,28.91,122192.0,300631
246,2018-03-26,27.3,29.27,31.4,27.3,70659.0,300631
247,2018-03-27,31.0,32.2,32.2,31.0,90877.0,300631
248,2018-03-28,33.3,29.0,33.3,29.0,110225.0,300631
249,2018-03-29,29.1,29.0,30.29,28.66,63905.0,300631
250,2018-03-30,30.5,31.9,31.9,29.88,69596.0,300631
251,2018-04-02,33.3,35.09,35.09,32.77,99223.0,300631
252,2018-04-03,34.1,33.0,35.39,32.0,107738.0,300631
253,2018-04-04,33.5,31.27,33.99,31.27,62451.0,300631
254,2018-04-09,31.33,32.37,34.0,31.33,65222.0,300631
255,2018-04-10,31.78,30.35,32.24,29.59,58128.0,300631
