date,open,close,high,low,volume
2017-07-31,15.53,18.63,18.63,15.53,103.0
2017-08-01,20.49,20.49,20.49,20.49,72.0
2017-08-02,22.54,22.54,22.54,22.54,67.0
2017-08-03,24.79,24.79,24.79,24.79,109.0
2017-08-04,27.27,27.27,27.27,27.27,579.0
2017-08-07,30.0,29.0,30.0,27.8,171873.0
2017-08-08,28.44,30.74,31.01,27.7,166841.0
2017-08-09,29.6,27.93,29.94,27.79,125284.0
2017-08-10,27.0,27.96,28.99,26.78,106683.0
2017-08-11,27.26,27.42,28.58,27.0,76886.0
2017-08-14,27.3,27.78,28.26,26.84,63909.0
2017-08-15,27.5,29.64,30.44,27.41,123327.0
2017-08-16,29.18,30.14,31.68,28.79,143326.0
2017-08-17,29.8,29.93,31.68,29.39,137128.0
2017-08-18,29.61,32.92,32.92,29.21,147669.0
2017-08-21,32.0,34.35,35.49,31.97,156123.0
2017-08-22,33.88,33.26,34.28,32.3,120938.0
2017-08-23,32.7,33.43,35.3,32.3,122186.0
2017-08-24,32.92,31.48,34.85,31.21,139684.0
2017-08-25,31.01,33.11,33.6,30.88,102960.0
2017-08-28,33.6,36.42,36.42,33.2,150726.0
2017-08-29,35.89,37.0,40.06,35.36,196914.0
2017-08-30,36.29,39.68,40.5,36.29,166365.0
2017-08-31,38.8,39.56,40.8,38.7,124082.0
2017-09-01,40.26,37.54,40.55,36.6,126417.0
2017-09-04,36.8,36.0,36.99,35.6,90154.0
2017-09-05,36.01,36.2,37.3,36.0,78015.0
2017-09-06,35.33,35.05,35.68,34.0,94537.0
2017-09-07,34.95,34.7,35.75,34.68,66475.0
2017-09-08,34.5,34.36,35.2,33.68,49726.0
2017-09-11,34.48,35.91,36.17,34.36,60662.0
2017-09-12,35.79,34.77,35.81,34.54,53108.0
2017-09-13,34.5,35.41,35.53,34.29,40715.0
2017-09-14,35.35,35.3,35.87,34.94,33105.0
2017-09-15,35.3,34.13,35.59,34.02,36017.0
2017-09-18,33.96,33.52,33.98,32.7,27159.0
2017-09-19,33.61,34.08,34.5,33.51,29528.0
2017-09-20,33.87,34.4,34.57,33.67,26064.0
2017-09-21,34.6,34.31,35.19,34.0,37707.0
2017-09-22,33.9,34.94,35.0,33.05,42066.0
2017-09-25,34.78,34.5,35.44,34.45,29193.0
2017-09-26,34.37,32.7,34.5,32.1,40773.0
2017-09-27,32.8,33.1,33.24,32.53,19606.0
2017-09-28,33.0,32.89,33.58,32.5,21300.0
2017-09-29,33.0,33.15,33.4,32.6,19098.0
2017-10-09,33.49,33.45,33.7,33.2,20006.0
2017-10-10,33.47,35.37,35.43,33.32,49392.0
2017-10-11,35.35,36.96,37.75,35.06,90526.0
2017-10-12,36.0,36.35,36.5,35.59,50394.0
2017-10-13,36.15,36.55,37.32,36.06,51187.0
2017-10-16,37.16,36.1,39.4,36.05,63432.0
2017-10-17,35.0,38.73,39.71,34.6,119758.0
2017-10-18,37.8,36.8,38.33,36.05,85623.0
2017-10-19,36.41,36.9,38.6,36.36,70003.0
2017-10-20,39.0,40.59,40.59,39.0,167457.0
2017-10-23,44.65,40.58,44.65,38.58,187269.0
2017-10-24,41.63,38.2,42.16,37.8,155462.0
2017-10-25,37.13,38.44,39.19,36.6,117674.0
2017-10-26,37.9,37.43,38.5,37.16,85146.0
2017-10-27,37.4,35.9,37.68,35.8,82135.0
2017-10-30,36.01,34.51,36.3,34.48,53136.0
2017-10-31,34.92,36.34,36.89,34.71,69297.0
2017-11-01,35.8,36.44,36.82,35.7,56319.0
2017-11-02,36.65,37.3,37.95,36.45,75750.0
2017-11-03,37.6,36.51,37.6,36.0,41274.0
2017-11-06,36.9,37.85,37.9,36.78,46391.0
2017-11-07,38.2,37.1,38.28,36.46,52580.0
2017-11-08,36.88,36.96,38.0,36.85,56341.0
2017-11-09,36.9,36.49,36.9,36.0,42643.0
2017-11-10,36.45,36.74,37.39,36.35,52520.0
2017-11-13,37.05,36.4,37.13,36.16,42712.0
2017-11-14,36.53,36.0,36.72,35.6,42923.0
2017-11-15,35.55,34.04,35.8,33.8,49155.0
2017-11-16,33.7,33.18,34.29,33.18,24302.0
2017-11-17,33.14,29.91,33.39,29.91,46556.0
2017-11-20,29.65,30.49,30.57,29.11,21181.0
2017-11-21,30.45,29.92,30.62,29.29,22906.0
