date,open,close,high,low,volume
1995-03-20,2.8080000000000003,2.44,2.8360000000000003,2.437,72724.0
1995-03-21,2.359,2.331,2.387,2.258,25201.0
1995-03-22,2.331,2.415,2.423,2.289,29913.0
1995-03-23,2.437,2.356,2.443,2.3480000000000003,16218.0
1995-03-24,2.331,2.381,2.39,2.3169999999999997,8697.0
1995-03-27,2.359,2.359,2.384,2.331,10724.0
1995-03-28,2.359,2.3169999999999997,2.359,2.305,7490.0
1995-03-29,2.3169999999999997,2.345,2.353,2.291,5689.0
1995-03-30,2.345,2.305,2.373,2.2969999999999997,8154.0
1995-03-31,2.289,2.325,2.345,2.289,4265.0
1995-04-03,2.331,2.32,2.334,2.2969999999999997,5697.0
1995-04-04,2.303,2.334,2.339,2.294,6293.0
1995-04-05,2.331,2.2969999999999997,2.359,2.2969999999999997,4613.0
1995-04-06,2.294,2.336,2.359,2.286,2875.0
1995-04-07,2.336,2.5269999999999997,2.569,2.325,35713.0
1995-04-10,2.569,2.617,2.682,2.555,37049.0
1995-04-11,2.617,2.443,2.617,2.44,21981.0
1995-04-12,2.415,2.477,2.522,2.39,10982.0
1995-04-13,2.471,2.415,2.499,2.4090000000000003,6049.0
1995-04-14,2.362,2.452,2.457,2.362,4411.0
1995-04-17,2.452,2.421,2.468,2.415,2951.0
1995-04-18,2.407,2.387,2.435,2.387,2764.0
1995-04-19,2.387,2.4290000000000003,2.432,2.387,2723.0
1995-04-20,2.452,2.477,2.485,2.415,4565.0
1995-04-21,2.471,2.404,2.471,2.401,5645.0
1995-04-24,2.376,2.314,2.384,2.2969999999999997,5174.0
1995-04-25,2.289,2.3169999999999997,2.322,2.269,3982.0
1995-04-26,2.303,2.23,2.35,2.23,5874.0
1995-04-27,2.19,2.106,2.289,1.94,13593.0
1995-04-28,2.092,2.134,2.162,2.0780000000000003,7499.0
1995-05-02,2.134,2.092,2.134,2.0780000000000003,1672.0
1995-05-03,2.101,2.081,2.126,2.0780000000000003,1978.0
1995-05-04,2.106,2.03,2.106,2.016,1922.0
1995-05-05,2.002,2.036,2.056,1.9909999999999999,1180.0
1995-05-08,2.05,2.036,2.056,2.013,1195.0
1995-05-09,2.05,2.05,2.064,2.033,1059.0
1995-05-10,2.05,1.966,2.05,1.966,2618.0
1995-05-11,1.966,1.954,2.013,1.9380000000000002,1654.0
1995-05-12,1.966,2.044,2.213,1.9569999999999999,4824.0
1995-05-15,2.044,2.036,2.05,2.016,1077.0
1995-05-16,2.0469999999999997,2.019,2.0469999999999997,2.002,626.0
1995-05-17,2.019,2.044,2.05,2.008,831.0
1995-05-18,2.525,2.9739999999999998,3.089,2.525,59342.0
1995-05-19,2.864,3.3139999999999996,3.3280000000000003,2.864,37611.0
1995-05-22,3.398,3.21,3.398,3.03,28622.0
1995-05-23,2.8139999999999996,2.583,2.949,2.499,31002.0
1995-05-24,2.508,2.5610000000000004,2.668,2.443,10699.0
1995-05-25,2.5610000000000004,2.398,2.6260000000000003,2.387,6818.0
1995-05-26,2.331,2.522,2.696,2.303,13471.0
1995-05-29,2.522,2.494,2.522,2.4290000000000003,3957.0
1995-05-30,2.494,2.471,2.494,2.435,2255.0
1995-05-31,2.415,2.449,2.46,2.415,1746.0
1995-06-01,2.443,2.519,2.5269999999999997,2.443,1056.0
1995-06-02,2.5269999999999997,2.491,2.553,2.485,2775.0
1995-06-05,2.491,2.4090000000000003,2.499,2.3480000000000003,1583.0
1995-06-06,2.373,2.387,2.401,2.359,1660.0
1995-06-07,2.373,2.491,2.491,2.373,2246.0
1995-06-08,2.471,2.398,2.485,2.387,3033.0
1995-06-09,2.384,2.401,2.432,2.384,1428.0
1995-06-12,2.331,2.384,2.4290000000000003,2.331,1411.0
1995-06-13,2.387,2.381,2.401,2.379,773.0
1995-06-14,2.387,2.353,2.387,2.336,1320.0
1995-06-15,2.336,2.19,2.359,2.176,5319.0
1995-06-16,2.19,2.218,2.247,2.148,3037.0
1995-06-19,2.19,2.185,2.213,2.157,1064.0
1995-06-20,2.193,2.185,2.213,2.171,1032.0
1995-06-21,2.171,2.224,2.2319999999999998,2.171,822.0
1995-06-22,2.204,2.19,2.218,2.185,656.0
1995-06-26,2.19,2.2159999999999997,2.218,2.19,670.0
1995-06-27,2.2319999999999998,2.202,2.2319999999999998,2.199,953.0
1995-06-28,2.213,2.174,2.213,2.174,570.0
1995-06-29,2.19,2.176,2.19,2.162,586.0
1995-06-30,2.176,2.14,2.176,2.129,1339.0
1995-07-03,2.112,2.103,2.112,2.092,671.0
1995-07-04,2.106,2.106,2.134,2.092,771.0
1995-07-05,2.162,2.148,2.162,2.12,631.0
1995-07-06,2.134,2.134,2.171,2.134,1801.0
1995-07-07,2.134,2.2319999999999998,2.261,2.134,4740.0
1995-07-10,2.249,2.213,2.275,2.193,2207.0
