,date,open,close,high,low,volume,code
0,2018-02-26,5.46,6.55,6.55,5.46,666.0,603712
1,2018-02-27,7.21,7.21,7.21,7.21,372.0,603712
2,2018-02-28,7.93,7.93,7.93,7.93,425.0,603712
3,2018-03-01,8.72,8.72,8.72,8.72,882.0,603712
4,2018-03-02,9.59,9.59,9.59,9.59,3754.0,603712
5,2018-03-05,10.55,10.55,10.55,10.55,3102.0,603712
6,2018-03-06,11.61,11.61,11.61,11.61,1709.0,603712
7,2018-03-07,12.77,12.77,12.77,12.77,2062.0,603712
8,2018-03-08,14.05,14.05,14.05,14.05,2890.0,603712
9,2018-03-09,15.46,15.46,15.46,15.46,8191.0,603712
10,2018-03-12,17.01,17.01,17.01,17.01,5338.0,603712
11,2018-03-13,18.71,18.71,18.71,18.71,21914.0,603712
12,2018-03-14,20.58,20.58,20.58,20.58,36849.0,603712
13,2018-03-15,22.64,22.64,22.64,22.64,47487.0,603712
14,2018-03-16,24.9,24.9,24.9,24.28,425523.0,603712
15,2018-03-19,24.88,27.39,27.39,24.01,658804.0,603712
16,2018-03-20,26.0,26.4,27.15,25.03,508238.0,603712
17,2018-03-21,26.11,29.04,29.04,26.11,720935.0,603712
18,2018-03-22,27.5,27.93,29.97,27.0,565949.0,603712
19,2018-03-23,25.14,29.22,30.72,25.14,604442.0,603712
20,2018-03-26,29.51,32.14,32.14,29.51,550039.0,603712
21,2018-03-27,34.0,35.35,35.35,33.82,216957.0,603712
22,2018-03-28,38.08,32.92,38.89,32.0,532715.0,603712
23,2018-03-29,34.03,36.21,36.21,31.49,568422.0,603712
24,2018-03-30,36.87,39.83,39.83,36.21,537149.0,603712
25,2018-04-02,41.49,43.81,43.81,38.01,536449.0,603712
26,2018-04-10,48.19,48.19,48.19,43.8,371130.0,603712
27,2018-04-11,46.0,47.99,52.88,45.6,572337.0,603712
