date,open,close,high,low,volume
2010-01-22,3.625,3.5460000000000003,3.71,3.48,102597.4
2010-01-25,3.483,3.2230000000000003,3.483,3.2119999999999997,43753.84
2010-01-26,3.202,3.1689999999999996,3.3110000000000004,3.141,26721.04
2010-01-27,3.19,3.2510000000000003,3.2560000000000002,3.148,19384.03
2010-01-28,3.213,3.051,3.237,3.0239999999999996,23462.85
2010-01-29,3.0189999999999997,3.077,3.1660000000000004,2.995,18551.55
2010-02-01,3.0210000000000004,2.931,3.0210000000000004,2.908,15253.21
2010-02-02,2.955,2.917,2.985,2.917,9320.34
2010-02-03,2.9160000000000004,2.946,2.96,2.793,12944.26
2010-02-04,2.929,2.9819999999999998,3.02,2.8560000000000003,11755.57
2010-02-05,2.906,3.011,3.033,2.9,13708.73
2010-02-08,3.011,2.987,3.0180000000000002,2.945,6708.61
2010-02-09,2.9730000000000003,2.952,2.995,2.924,5815.72
2010-02-10,2.968,2.991,3.008,2.938,6659.71
2010-02-11,2.9789999999999996,3.009,3.031,2.9619999999999997,7694.54
2010-02-12,3.01,3.053,3.055,2.998,7018.11
2010-02-22,3.049,3.065,3.1060000000000003,2.9930000000000003,11429.12
2010-02-23,3.091,3.048,3.091,2.997,6553.46
2010-02-24,3.0389999999999997,3.137,3.15,3.0180000000000002,12013.78
2010-02-25,3.141,3.181,3.2510000000000003,3.112,17585.83
2010-02-26,3.178,3.196,3.233,3.1660000000000004,12356.87
2010-03-01,3.202,3.341,3.358,3.202,18287.93
2010-03-02,3.344,3.333,3.4539999999999997,3.2939999999999996,23654.0
2010-03-03,3.333,3.35,3.4189999999999996,3.275,14387.82
2010-03-04,3.35,3.27,3.35,3.2239999999999998,15455.95
2010-03-05,3.263,3.2739999999999996,3.298,3.227,8771.11
2010-03-08,3.2910000000000004,3.312,3.341,3.2510000000000003,8410.55
2010-03-09,3.326,3.304,3.335,3.2689999999999997,6124.0
2010-03-10,3.306,3.236,3.3139999999999996,3.227,6629.8
2010-03-11,3.236,3.2760000000000002,3.2760000000000002,3.165,7283.55
2010-03-12,3.263,3.2939999999999996,3.36,3.25,10255.04
2010-03-16,3.263,3.275,3.285,3.217,4447.33
2010-03-17,3.273,3.345,3.3569999999999998,3.258,6957.13
2010-03-18,3.355,3.353,3.395,3.315,9452.54
2010-03-19,3.3810000000000002,3.335,3.3810000000000002,3.323,6413.34
2010-03-22,3.3339999999999996,3.3310000000000004,3.3819999999999997,3.326,4601.52
2010-03-23,3.3289999999999997,3.2739999999999996,3.344,3.2510000000000003,5623.89
2010-03-24,3.2939999999999996,3.384,3.384,3.2689999999999997,11212.84
2010-03-25,3.3819999999999997,3.5239999999999996,3.565,3.35,25709.41
2010-03-26,3.48,3.5210000000000004,3.5239999999999996,3.3989999999999996,10794.54
2010-03-29,3.5580000000000003,3.5069999999999997,3.5580000000000003,3.4560000000000004,7530.53
2010-03-30,3.512,3.595,3.6239999999999997,3.492,14104.37
2010-03-31,3.589,3.6069999999999998,3.7039999999999997,3.5669999999999997,13652.39
2010-04-01,3.6069999999999998,3.705,3.7560000000000002,3.589,13136.74
2010-04-02,3.698,3.6639999999999997,3.7460000000000004,3.637,7926.0
2010-04-06,3.6639999999999997,3.6910000000000003,3.705,3.645,5667.85
2010-04-07,3.6910000000000003,3.7119999999999997,3.738,3.66,7318.05
2010-04-08,3.7119999999999997,3.6860000000000004,3.716,3.6289999999999996,8751.05
2010-04-09,3.6860000000000004,3.698,3.716,3.653,8002.16
2010-04-12,3.698,3.807,3.845,3.698,15544.25
2010-04-13,3.8089999999999997,3.625,3.8489999999999998,3.4539999999999997,16171.07
2010-04-14,3.625,3.6069999999999998,3.6710000000000003,3.5069999999999997,10700.35
2010-04-15,3.623,3.431,3.623,3.43,9376.55
2010-04-16,3.42,3.472,3.5189999999999997,3.384,6087.83
2010-04-19,3.455,3.3960000000000004,3.467,3.384,5515.4
2010-04-20,3.408,3.4139999999999997,3.4389999999999996,3.2880000000000003,6150.35
2010-04-21,3.4219999999999997,3.5869999999999997,3.6239999999999997,3.4219999999999997,13564.48
2010-04-22,3.505,3.495,3.563,3.397,25935.79
2010-04-23,3.532,3.844,3.844,3.532,47355.19
2010-04-26,3.867,4.228,4.228,3.8080000000000003,78309.88
2010-04-27,4.105,4.117,4.137,3.81,37103.36
2010-04-28,3.988,4.051,4.218,3.9760000000000004,30720.22
2010-04-29,4.024,3.984,4.1,3.926,23151.77
2010-04-30,3.9010000000000002,3.78,3.9810000000000003,3.6710000000000003,18324.07
2010-05-04,3.628,3.793,3.793,3.6239999999999997,10883.36
2010-05-05,3.745,3.903,3.903,3.71,15440.45
2010-05-06,3.903,3.825,3.987,3.785,12352.05
2010-05-07,3.71,3.687,3.843,3.628,10299.73
2010-05-10,3.716,3.49,3.716,3.426,9315.03
2010-05-12,3.3810000000000002,3.213,3.3810000000000002,3.179,17433.03
2010-05-13,3.208,3.3169999999999997,3.37,3.1460000000000004,11040.08
2010-05-14,3.263,3.3169999999999997,3.346,3.263,8724.74
2010-05-17,3.286,3.16,3.3110000000000004,3.1180000000000003,7886.4
2010-05-18,3.16,3.2,3.2239999999999998,3.074,7964.03
2010-05-19,3.17,3.227,3.37,3.148,8765.86
2010-05-20,3.213,3.2239999999999998,3.305,3.179,5511.43
2010-05-21,3.14,3.3369999999999997,3.366,3.1060000000000003,12196.93
2010-05-24,3.345,3.4619999999999997,3.4789999999999996,3.34,15890.56
2010-05-25,3.451,3.505,3.5269999999999997,3.362,13634.18
2010-05-26,3.503,3.531,3.5869999999999997,3.468,15372.06
2010-05-27,3.5260000000000002,3.5780000000000003,3.685,3.48,11466.15
2010-05-28,3.6189999999999998,3.698,3.739,3.589,19354.67
2010-05-31,3.698,3.952,4.0680000000000005,3.6860000000000004,33061.1
2010-06-01,3.832,4.042,4.042,3.832,25487.97
2010-06-02,4.035,3.987,4.035,3.867,17703.65
2010-06-03,3.9210000000000003,3.9610000000000003,4.023,3.889,13968.13
2010-06-04,3.903,3.806,3.928,3.727,15064.88
2010-06-07,3.7569999999999997,3.812,3.863,3.721,12104.09
2010-06-08,3.822,3.877,4.0089999999999995,3.812,16895.36
2010-06-10,3.891,4.0360000000000005,4.1160000000000005,3.867,18265.23
2010-06-11,4.037,4.13,4.2410000000000005,4.01,20112.76
2010-06-17,4.147,4.159,4.314,4.026,18623.09
2010-06-18,4.093999999999999,3.802,4.156000000000001,3.781,14157.11
2010-06-21,3.745,3.89,3.952,3.716,10706.16
2010-06-22,3.852,4.279,4.279,3.83,25265.46
2010-06-23,4.289,4.3469999999999995,4.426,4.155,36252.91
2010-06-24,4.311,4.314,4.364,4.22,16558.79
2010-06-25,4.244,4.217,4.291,4.136,15531.03
2010-06-28,4.188,4.052,4.2989999999999995,3.9930000000000003,16629.16
2010-06-29,4.0489999999999995,3.77,4.082,3.753,21545.59
2010-06-30,3.77,3.888,3.987,3.721,19951.64
2010-07-01,3.861,3.6910000000000003,3.935,3.5989999999999998,23732.48
2010-07-02,3.648,3.844,3.885,3.605,15465.46
2010-07-05,3.721,3.918,4.012,3.715,12609.51
2010-07-06,3.891,3.971,4.066,3.852,11596.31
2010-07-07,3.964,3.9739999999999998,4.055,3.907,8572.01
2010-07-08,3.968,4.21,4.256,3.968,16490.58
2010-07-09,4.205,4.2410000000000005,4.28,4.074,17689.84
2010-07-12,4.1930000000000005,4.162,4.243,4.122,14262.0
2010-07-13,4.1930000000000005,4.323,4.499,4.063,25495.72
2010-07-14,4.301,4.295,4.408,4.26,13175.4
2010-07-15,4.303,4.1339999999999995,4.313,4.12,10126.18
2010-07-16,4.12,4.24,4.375,4.099,15455.34
2010-07-19,4.256,4.524,4.572,4.232,20564.38
2010-07-20,4.522,4.51,4.566,4.454,19768.46
2010-07-21,4.534,4.468,4.645,4.4319999999999995,18512.32
2010-07-22,4.449,4.513999999999999,4.618,4.426,15679.47
2010-07-23,4.511,4.476,4.513999999999999,4.378,14527.94
2010-07-26,4.452,4.592,4.596,4.391,12745.49
2010-07-27,4.562,4.44,4.678999999999999,4.438,17941.48
2010-07-28,4.426,4.481,4.485,4.381,17698.35
2010-07-29,4.481,4.414,4.482,4.3839999999999995,10252.53
2010-07-30,4.412,4.463,4.539,4.412,13167.33
2010-08-02,4.458,4.524,4.555,4.414,17070.01
2010-08-03,4.53,4.404,4.5889999999999995,4.4030000000000005,16445.61
2010-08-04,4.376,4.333,4.416,4.244,18410.63
2010-08-05,4.3,4.327,4.374,4.283,9362.2
2010-08-06,4.329,4.5,4.521,4.329,17896.19
2010-08-09,4.5169999999999995,4.524,4.604,4.4510000000000005,13074.0
2010-08-10,4.477,4.256,4.555,4.256,12713.66
2010-08-11,4.2780000000000005,4.28,4.329,4.232,9768.22
2010-08-12,4.2989999999999995,4.282,4.387,4.256,10323.35
2010-08-13,4.29,4.387,4.402,4.29,8266.78
2010-08-16,4.387,4.43,4.482,4.363,10943.75
2010-08-17,4.474,4.505,4.524,4.431,11067.04
2010-08-18,4.487,4.4510000000000005,4.52,4.416,8890.72
2010-08-19,4.4510000000000005,4.753,4.852,4.4510000000000005,25837.68
2010-08-20,4.742,4.61,4.742,4.499,14847.66
2010-08-23,4.609,4.609,4.655,4.515,9297.91
2010-08-24,4.582,4.631,4.667,4.531000000000001,8972.1
2010-08-25,4.593,4.465,4.62,4.452,9831.79
2010-08-26,4.498,4.3919999999999995,4.499,4.341,12490.0
2010-08-27,4.378,4.431,4.497,4.376,13457.0
2010-08-30,4.425,4.572,4.596,4.3180000000000005,17844.0
2010-08-31,4.53,4.56,4.606,4.499,13023.0
2010-09-01,4.564,4.41,4.667,4.353,15058.0
2010-09-02,4.449,4.448,4.475,4.378,8912.0
2010-09-03,4.449,4.511,4.57,4.361000000000001,12992.0
