date,open,close,high,low,volume
2008-05-22,1.426,1.3840000000000001,1.524,1.3659999999999999,193246.61
2008-05-23,1.493,1.3969999999999998,1.5230000000000001,1.381,112567.16
2008-05-26,1.337,1.3769999999999998,1.403,1.287,72923.73
2008-05-27,1.4040000000000001,1.409,1.496,1.3719999999999999,45123.0
2008-05-28,1.374,1.383,1.421,1.337,30241.76
2008-05-29,1.369,1.43,1.459,1.306,50073.66
2008-05-30,1.421,1.4180000000000001,1.479,1.406,32183.74
2008-06-02,1.399,1.368,1.402,1.351,17606.58
2008-06-03,1.3630000000000002,1.435,1.446,1.359,18041.64
2008-06-04,1.435,1.452,1.4880000000000002,1.412,28775.88
2008-06-05,1.425,1.5019999999999998,1.521,1.413,22317.36
2008-06-06,1.493,1.4709999999999999,1.5590000000000002,1.462,24649.98
2008-06-10,1.413,1.41,1.433,1.357,23603.14
2008-06-11,1.41,1.3119999999999998,1.4609999999999999,1.27,34665.41
2008-06-12,1.291,1.272,1.291,1.202,28004.63
2008-06-13,1.249,1.213,1.301,1.203,12525.12
2008-06-16,1.213,1.185,1.232,1.15,9149.0
2008-06-17,1.176,1.176,1.2109999999999999,1.169,12301.79
2008-06-18,1.176,1.234,1.248,1.162,9084.95
2008-06-19,1.248,1.212,1.2690000000000001,1.185,13521.95
2008-06-20,1.212,1.2429999999999999,1.3090000000000002,1.186,11859.09
2008-06-23,1.212,1.181,1.225,1.119,14252.52
2008-06-24,1.1540000000000001,1.199,1.212,1.123,10223.33
2008-06-25,1.181,1.252,1.2570000000000001,1.166,9776.59
2008-06-26,1.239,1.248,1.256,1.185,7676.56
2008-06-30,1.1640000000000001,1.196,1.207,1.145,5998.91
2008-07-01,1.1840000000000002,1.203,1.232,1.181,3911.06
2008-07-02,1.188,1.234,1.234,1.187,3590.14
2008-07-03,1.209,1.274,1.3019999999999998,1.203,8403.3
2008-07-04,1.26,1.255,1.274,1.239,6195.52
2008-07-07,1.242,1.295,1.306,1.239,6487.83
2008-07-08,1.278,1.258,1.31,1.208,9723.55
2008-07-09,1.244,1.266,1.281,1.244,8608.8
2008-07-10,1.2570000000000001,1.301,1.329,1.236,9208.76
2008-07-11,1.2990000000000002,1.33,1.345,1.288,6762.54
2008-07-14,1.318,1.33,1.355,1.3030000000000002,5828.4
2008-07-15,1.331,1.305,1.331,1.266,4929.3
2008-07-16,1.291,1.27,1.314,1.255,4889.47
2008-07-17,1.274,1.265,1.3090000000000002,1.248,1761.0
2008-07-18,1.2690000000000001,1.2790000000000001,1.286,1.213,3824.5
2008-07-21,1.266,1.301,1.315,1.26,8477.24
2008-07-22,1.2919999999999998,1.2790000000000001,1.3030000000000002,1.274,2544.1
2008-07-23,1.285,1.246,1.2990000000000002,1.23,3736.17
2008-07-24,1.245,1.255,1.268,1.2429999999999999,2278.01
2008-07-25,1.2570000000000001,1.248,1.268,1.235,2246.26
2008-07-28,1.25,1.2919999999999998,1.308,1.25,5733.52
2008-07-29,1.287,1.306,1.3230000000000002,1.2830000000000001,4770.04
2008-07-30,1.328,1.36,1.381,1.306,10379.42
2008-07-31,1.36,1.37,1.3980000000000001,1.351,11501.93
2008-08-01,1.369,1.3459999999999999,1.376,1.315,3838.53
2008-08-04,1.319,1.403,1.415,1.31,5489.22
2008-08-05,1.385,1.364,1.439,1.364,4560.03
2008-08-06,1.37,1.3459999999999999,1.4040000000000001,1.337,5185.44
2008-08-07,1.347,1.426,1.4709999999999999,1.347,6094.72
2008-08-08,1.4169999999999998,1.368,1.433,1.364,7974.31
2008-08-11,1.341,1.337,1.389,1.286,5841.8
2008-08-12,1.337,1.386,1.4040000000000001,1.2990000000000002,3228.14
2008-08-13,1.359,1.4569999999999999,1.4569999999999999,1.359,2924.34
2008-08-14,1.452,1.443,1.479,1.433,2435.81
2008-08-15,1.429,1.51,1.528,1.423,5652.51
2008-08-18,1.511,1.3880000000000001,1.515,1.359,5837.47
2008-08-19,1.3459999999999999,1.4169999999999998,1.4369999999999998,1.2919999999999998,13418.74
2008-08-20,1.4040000000000001,1.4780000000000002,1.493,1.359,9534.24
2008-08-21,1.421,1.4,1.4480000000000002,1.381,5126.71
