,code,name,return,accuracy
0,600699,均胜电子,0.13310403361705625,0.9143911439114392
1,600114,东睦股份,0.08936318563760386,0.9321212121212121
2,600335,国机汽车,0.06250036394718791,0.9107692307692308
3,002203,海亮股份,0.061849662243638054,0.9205776173285198
4,002156,通富微电,0.05797875178940316,0.9119086460032626
5,300014,亿纬锂能,0.04485961542500255,0.7926829268292683
6,002441,众业达,0.04417226500748356,0.8938053097345132
7,002540,亚太科技,0.04373121130609961,0.8881118881118881
8,300351,永贵电器,0.03812088834577006,0.8648648648648649
9,002595,豪迈科技,0.03672915401536911,0.8839506172839506
10,000988,华工科技,0.033465133844544324,0.8947867298578199
11,002048,宁波华翔,0.031681917200115046,0.8767123287671232
12,300068,南都电源,0.026810659535697702,0.9118942731277533
13,601689,拓普集团,0.0256603970446001,0.949438202247191
14,002101,广东鸿图,0.01764357055491984,0.8839009287925697
15,002547,春兴精工,0.010375193353902318,0.9151193633952255
16,300176,鸿特精密,0.010300702087744808,0.8553299492385786
17,000049,德赛电池,0.009099997053155196,0.8801775147928994
18,002340,格林美,0.0046298314078124245,0.8340425531914893
19,002405,四维图新,0.0005776102183842151,0.91324200913242
20,600390,五矿资本,-0.005921719689525307,0.9251769464105156
21,000009,中国宝安,-0.008563446494360789,0.8981657179000633
22,000030,富奥股份,-0.010042678830311095,0.9196217494089834
23,002664,长鹰信质,-0.014938903395445345,0.896774193548387
24,000887,中鼎股份,-0.019825719000395755,0.8825722273998136
25,000800,一汽轿车,-0.021838673575518733,0.904607922392886
26,300088,长信科技,-0.022357655668585302,0.930939226519337
27,300328,宜安科技,-0.023209727034218374,0.9264705882352942
28,300230,永利股份,-0.026024087082004987,0.9095744680851063
29,603026,石大胜华,-0.027913878894346437,0.9047619047619048
30,000839,中信国安,-0.03132251188783926,0.9196956889264581
31,600884,杉杉股份,-0.033612235684822654,0.865955826351866
32,000400,许继电气,-0.03641901707111774,0.9238493723849373
33,002594,比亚迪,-0.038057986516489825,0.890818858560794
34,002460,赣锋锂业,-0.038760636880349336,0.9084668192219679
35,002466,天齐锂业,-0.04029788759873002,0.9073634204275535
36,300037,新宙邦,-0.041858073066626894,0.9112050739957717
37,000970,中科三环,-0.0422659330354425,0.9172932330827067
38,002028,思源电气,-0.042501048341528465,0.8783783783783784
39,600110,诺德股份,-0.043665203813189085,0.9089316987740805
40,600805,悦达投资,-0.04609175270401302,0.8201388888888889
41,002056,横店东磁,-0.04652539067293069,0.9054441260744985
42,002091,江苏国泰,-0.04694657301663664,0.8819875776397516
43,002045,国光电器,-0.051492636527634715,0.9067909454061251
44,000559,万向钱潮,-0.05750677928667577,0.9109116022099447
45,002635,安洁科技,-0.06063714009169622,0.9126760563380282
46,600869,智慧能源,-0.060900770961096785,0.9112426035502958
47,600611,大众交通,-0.06302055345921603,0.9085009733939
48,600418,江淮汽车,-0.0641201252556713,0.9049111807732497
49,000973,佛塑科技,-0.06492636072237574,0.7844660194174757
50,002484,江海股份,-0.06494969172632549,0.8622222222222222
51,601012,隆基股份,-0.06758991658221483,0.9228571428571428
52,300134,大富科技,-0.07038763092302878,0.9011299435028248
53,002121,科陆电子,-0.07064450144326229,0.9132492113564669
54,002510,天汽模,-0.07131373091071665,0.9121140142517815
55,002501,利源精制,-0.07325626327158728,0.9178082191780822
56,000969,安泰科技,-0.07636408608116356,0.914505283381364
57,002384,东山精密,-0.10967841522206559,0.9325581395348838
