,code,name,return,accuracy
0,600699,均胜电子,0.1202344824226436,0.9114391143911439
1,600114,东睦股份,0.07134041750383281,0.9187878787878788
2,002156,通富微电,0.060688366731222944,0.8809135399673735
3,002203,海亮股份,0.059722405760989146,0.8646209386281588
4,600335,国机汽车,0.0505815419378193,0.9015384615384615
5,002595,豪迈科技,0.04370277235333049,0.9111111111111111
6,000988,华工科技,0.03977694906280774,0.8957345971563981
7,601689,拓普集团,0.035122221178749066,0.9213483146067416
8,002540,亚太科技,0.034186609512678004,0.8951048951048951
9,002441,众业达,0.03130644139700189,0.9004424778761062
10,002405,四维图新,0.023769094112933688,0.8333333333333334
11,002101,广东鸿图,0.019419308857045164,0.9164086687306502
12,300351,永贵电器,0.008726813466984925,0.9121621621621622
13,002460,赣锋锂业,0.0024065083254247123,0.8352402745995423
14,000030,富奥股份,0.0009044555539444736,0.8865248226950354
15,300068,南都电源,-0.0027736162318682087,0.8634361233480177
16,600390,五矿资本,-0.008191666565711835,0.8928210313447927
17,300230,永利股份,-0.008905779328782955,0.9148936170212766
18,002547,春兴精工,-0.009748581868765607,0.9071618037135278
19,002028,思源电气,-0.010647654732074779,0.8685503685503686
20,000049,德赛电池,-0.010979204480805436,0.915680473372781
21,002048,宁波华翔,-0.011285605211126296,0.8767123287671232
22,603026,石大胜华,-0.01175201878523837,0.8869047619047619
23,300037,新宙邦,-0.013364388932411214,0.9365750528541226
24,300088,长信科技,-0.014207554869615379,0.9475138121546961
25,002340,格林美,-0.015813173317641836,0.8936170212765957
26,002091,江苏国泰,-0.015893121480636527,0.8990683229813664
27,600805,悦达投资,-0.016406048049088805,0.9166666666666666
28,002594,比亚迪,-0.019600361674344133,0.8933002481389578
29,000839,中信国安,-0.020377773877016222,0.9027895181741336
30,002466,天齐锂业,-0.029252722228316135,0.8669833729216152
31,000800,一汽轿车,-0.03232332144324282,0.9361358124494745
32,300328,宜安科技,-0.03446502030975777,0.9176470588235294
33,300176,鸿特精密,-0.035116093661212995,0.8629441624365483
34,000887,中鼎股份,-0.03581273349940328,0.9049394221808015
35,002664,长鹰信质,-0.03582005788319667,0.9096774193548387
36,000970,中科三环,-0.037093061273486015,0.900375939849624
37,002484,江海股份,-0.04277772626910025,0.9155555555555556
38,000400,许继电气,-0.04290325493215395,0.9179916317991632
39,600110,诺德股份,-0.04331094478756958,0.8852889667250438
40,600884,杉杉股份,-0.04395230037694798,0.9131759329779132
41,601012,隆基股份,-0.04799495343969439,0.88
42,300134,大富科技,-0.04889586009222982,0.9124293785310734
43,600611,大众交通,-0.04924428598638438,0.8948734587929915
44,600418,江淮汽车,-0.052164337956403,0.9080459770114943
45,002635,安洁科技,-0.05275270399271896,0.9126760563380282
46,002121,科陆电子,-0.05333133380221345,0.9100946372239748
47,600869,智慧能源,-0.05749708379853855,0.9134615384615384
48,000559,万向钱潮,-0.06166948324151965,0.8950276243093923
49,002056,横店东磁,-0.06184384775975836,0.9283667621776505
50,000009,中国宝安,-0.06441507368973425,0.8342820999367488
51,300014,亿纬锂能,-0.06538655820907828,0.7398373983739838
52,002501,利源精制,-0.07346312303947809,0.8995433789954338
53,000969,安泰科技,-0.08560102025561649,0.9193083573487032
54,002510,天汽模,-0.08679526294612847,0.9334916864608076
55,002045,国光电器,-0.09121359601440784,0.8881491344873502
56,002384,东山精密,-0.1106205778562824,0.9093023255813953
57,000973,佛塑科技,-0.11479913083801023,0.8553398058252427
